{'test': 0, 'deepcegar': 0.014, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 68, 'deepcegar': 0.022, 'deepzono': 0.021, 'deepinput': 0.022}
{'test': 69, 'deepcegar': 0.03, 'deepzono': 0.03, 'deepinput': 0.03}
{'test': 70, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 71, 'deepcegar': 0.037, 'deepzono': 0.036, 'deepinput': 0.036}
{'test': 72, 'deepcegar': 0.01, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 73, 'deepcegar': 0.01, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 74, 'deepcegar': 0.008, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 75, 'deepcegar': 0.016, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 76, 'deepcegar': 0.017, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 77, 'deepcegar': 0.012, 'deepzono': 0.012, 'deepinput': 0.012}
{'test': 78, 'deepcegar': 0.008, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 79, 'deepcegar': 0.016, 'deepzono': 0.015, 'deepinput': 0.016}
{'test': 80, 'deepcegar': 0.014, 'deepzono': 0.013, 'deepinput': 0.014}
{'test': 81, 'deepcegar': 0.011, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 82, 'deepcegar': 0.031, 'deepzono': 0.03, 'deepinput': 0.03}
{'test': 83, 'deepcegar': 0.013, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 84, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 85, 'deepcegar': 0.018, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 86, 'deepcegar': 0.016, 'deepzono': 0.016, 'deepinput': 0.016}
{'test': 87, 'deepcegar': 0.01, 'deepzono': 0.01, 'deepinput': 0.01}
{'test': 88, 'deepcegar': 0.022, 'deepzono': 0.022, 'deepinput': 0.023}
{'test': 89, 'deepcegar': 0.009, 'deepzono': 0.009, 'deepinput': 0.009}
{'test': 90, 'deepcegar': 0.021, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 91, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 92, 'deepcegar': 0.006, 'deepzono': 0.006, 'deepinput': 0.006}
{'test': 93, 'deepcegar': 0.003, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 94, 'deepcegar': 0.011, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 95, 'deepcegar': 0.017, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 96, 'deepcegar': 0.004, 'deepzono': 0.004, 'deepinput': 0.004}
{'test': 97, 'deepcegar': 0.013, 'deepzono': 0.013, 'deepinput': 0.013}
{'test': 98, 'deepcegar': 0.011, 'deepzono': 0.011, 'deepinput': 0.011}
{'test': 99, 'deepcegar': 0.02, 'deepzono': 0.02, 'deepinput': 0.021}
