{'test': 0, 'deepcegar': 0.018, 'deepzono': 0.017, 'deepinput': 0.017}
{'test': 80, 'deepcegar': 0.004, 'deepzono': 0.004, 'deepinput': 0.004}
{'test': 81, 'deepcegar': 0.005, 'deepzono': 0.005, 'deepinput': 0.005}
{'test': 82, 'deepcegar': 0.034, 'deepzono': 0.031, 'deepinput': 0.031}
{'test': 83, 'deepcegar': 0.02, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 84, 'deepcegar': 0.024, 'deepzono': 0.021, 'deepinput': 0.021}
{'test': 85, 'deepcegar': 0.018, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 86, 'deepcegar': 0.016, 'deepzono': 0.014, 'deepinput': 0.014}
{'test': 87, 'deepcegar': 0.022, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 88, 'deepcegar': 0.036, 'deepzono': 0.031, 'deepinput': 0.031}
{'test': 89, 'deepcegar': 0.019, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 90, 'deepcegar': 0.027, 'deepzono': 0.027, 'deepinput': 0.027}
{'test': 91, 'deepcegar': 0.019, 'deepzono': 0.018, 'deepinput': 0.018}
{'test': 92, 'deepcegar': 0.003, 'deepzono': 0.003, 'deepinput': 0.003}
{'test': 93, 'deepcegar': 0.033, 'deepzono': 0.031, 'deepinput': 0.031}
{'test': 94, 'deepcegar': 0.025, 'deepzono': 0.022, 'deepinput': 0.022}
{'test': 95, 'deepcegar': 0.015, 'deepzono': 0.015, 'deepinput': 0.015}
{'test': 96, 'deepcegar': 0.008, 'deepzono': 0.008, 'deepinput': 0.008}
{'test': 97, 'deepcegar': 0.006, 'deepzono': 0.006, 'deepinput': 0.006}
{'test': 98, 'deepcegar': 0.019, 'deepzono': 0.019, 'deepinput': 0.019}
{'test': 99, 'deepcegar': 0.029, 'deepzono': 0.027, 'deepinput': 0.027}
